transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,tansaction_id
1,4/1/2019,558.0,16,1,2.0,
2,4/1/2019,781.0,3,2,3.0,
3,4/1/2019,788.0,12,2,3.75,
4,4/1/2019,683.0,12,2,3.75,
5,4/1/2019,99.0,2,1,2.5,
6,4/1/2019,664.0,10,1,4.0,
7,4/1/2019,316.0,9,2,3.5,
8,4/1/2019,38.0,9,1,3.5,
9,4/1/2019,370.0,9,2,3.5,
10,4/1/2019,180.0,10,2,4.0,
11,4/1/2019,35.0,12,2,3.75,
12,4/1/2019,595.0,13,1,4.75,
13,4/1/2019,500.0,7,2,2.0,
14,4/1/2019,128.0,8,2,2.5,
15,4/1/2019,599.0,3,2,3.0,
16,4/1/2019,152.0,7,2,2.0,
17,4/1/2019,65.0,11,1,2.75,
18,4/1/2019,90.0,14,2,5.0,
19,4/1/2019,82.0,11,1,2.75,
20,4/1/2019,174.0,9,2,3.5,
21,4/1/2019,116.0,7,2,2.0,
22,4/1/2019,189.0,6,2,5.0,
23,4/1/2019,131.0,8,1,2.5,
24,4/1/2019,264.0,14,1,5.0,
25,4/1/2019,722.0,5,1,4.5,
26,4/1/2019,302.0,10,1,4.0,
27,4/1/2019,174.0,14,2,5.0,
28,4/1/2019,604.0,1,1,2.0,
29,4/1/2019,32.0,10,1,4.0,
30,4/1/2019,32.0,2,1,2.5,
31,4/1/2019,470.0,7,1,2.0,
32,4/1/2019,127.0,2,2,2.5,
33,4/1/2019,553.0,7,1,2.0,
34,4/1/2019,518.0,2,2,2.5,
35,4/1/2019,112.0,4,2,3.5,
36,4/1/2019,112.0,15,1,4.0,
37,4/1/2019,437.0,1,2,2.0,
38,4/1/2019,552.0,2,1,2.5,
39,4/1/2019,194.0,16,1,2.0,
40,4/1/2019,788.0,2,2,2.5,
41,4/1/2019,533.0,5,1,4.5,
42,4/1/2019,521.0,14,2,5.0,
43,4/1/2019,512.0,6,1,5.0,
44,4/1/2019,178.0,8,1,2.5,
45,4/1/2019,416.0,9,2,3.5,
46,4/1/2019,22.0,3,1,3.0,
47,4/1/2019,642.0,4,2,3.5,
